# RELEASE GROUPS    STARTING LENGTH    NUMBER INTERVALS    INTERVAL LENGTH
        54            2                54                2
#
#
# TAG RECOVERIES
#    1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39  40  41  42  43  44  45  46  47  48  49  50  51  52  53  54
     8  28   4  15  35 131  19  80 119  82  20 143 176 111 301 177 197 103  15   0 129  40 118  71 119 110 123 136  94 142 149 105 113 127  65  25  65  68   3   0   2   0  74   4  24 150   0  55  74   5   4  75   0   0
#
#
#---------------------------------
#   1 - RELEASE REGION    YEAR    MONTH
             1         1978       11
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 104 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
#
#
# LENGTH RELEASE    FISHERY    RECAP YEAR    RECAP MONTH    NUMBER
        44             1         1978             11            2
        44             1         1979              2            1
        44             5         1979              2            2
        44             5         1979              5            1
        44             5         1979             11            1
        44             9         1979              2            1
        44             9         1979              5            2
        44            13         1980              2            1
#
#
#---------------------------------
#   2 - RELEASE REGION    YEAR    MONTH
             2         1977       11
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 9 10 21 12 26 46 245 667 849 824 505 173 35 5 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
#
#
# LENGTH RELEASE    FISHERY    RECAP YEAR    RECAP MONTH    NUMBER
        46             7         1977             11            1
        46             7         1978              5            1
        48             7         1977             11            4
        48             7         1978              5            2
        48             7         1978              8            1
        48             7         1978             11            1
        48             7         1979              5            1
        50             6         1978              5            2
        50             7         1977             11           10
        50             7         1978              2            1
        50             7         1978              5            3
        50             7         1978              8            2
        50             7         1978             11            4
        50             7         1979              5            1
        52             6         1978              5            3
        52             7         1977             11           10
        52             7         1978              5            1
        52             7         1978              8            6
        52             7         1978             11            9
        54             5         1978              2            1
        54             5         1978             11            1
        54             7         1977             11            5
        54             7         1978              5            3
        54             7         1978              8            1
        54             7         1978             11            6
        54             7         1979              2            1
        56             7         1978              8            1
        58             7         1978             11            1
#
#
#---------------------------------
#   3 - RELEASE REGION    YEAR    MONTH
             2         1978        2
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 53 238 156 181 219 104 23 3 9 9 19 22 18 24 10 3 4 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
#
#
# LENGTH RELEASE    FISHERY    RECAP YEAR    RECAP MONTH    NUMBER
        44             6         1979             11            1
        46             7         1979             11            1
        50             7         1978             11            2
        52             7         1978             11            1
#
#
#---------------------------------
#   4 - RELEASE REGION    YEAR    MONTH
             2         1978        8
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 8 66 600 209 150 42 19 30 14 5 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
#
#
# LENGTH RELEASE    FISHERY    RECAP YEAR    RECAP MONTH    NUMBER
        48             5         1978             11            1
        48             5         1979              2            3
        50             5         1978             11           13
        50             5         1979              2            8
        50             5         1979              5            1
        50            13         1979              2            1
        50            13         1979              5            1
        50            13         1979             11            2
        52             5         1978             11            5
        54             5         1978             11            4
        54            13         1979             11            1
        56             5         1978             11            2
        58             5         1979              5            1
        62             5         1979              2            1
        62            13         1979             11            1
#
#
#---------------------------------
#   5 - RELEASE REGION    YEAR    MONTH
             2         1978       11
0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 7 22 86 24 9 1 0 3 6 68 364 458 284 237 198 167 33 18 24 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
#
#
# LENGTH RELEASE    FISHERY    RECAP YEAR    RECAP MONTH    NUMBER
        34             5         1979              5            1
        36             5         1980              2            1
        36            13         1979              8            1
        50             9         1979              2            1
        52             1         1979              5            1
        52             1         1980              5            1
        52             5         1978             11            8
        52             5         1979              2            8
        52             5         1979              5            2
        52             9         1979              2            2
        52            13         1979             11            1
        52            13         1980              2            1
        52            17         1979              8            1
        54             1         1979              2            1
        54             5         1978             11            9
        54             5         1979              2            4
        54             9         1979              2            3
        54            13         1979              5            1
        54            13         1979              8            1
        56             1         1979              5            1
        56             5         1978             11            5
        56             5         1979              2            7
        56             5         1979              5            1
        56             9         1979              2            1
        58             5         1978             11            2
        58             5         1979              2            1
        58             5         1980              2            1
        58             9         1979              2            1
        60             1         1979              2            1
        60             5         1978             11            3
        60             5         1979              2            2
